episode,score,high_score,lives,steps,reward,reached_mid_checkpoint,completed_lap,epsilon
132,0,10,0,7,-696.0,False,False,0.20848
133,200,210,0,43,-172.0,True,True,0.20744
134,0,30,0,18,-696.0,False,False,0.2064
135,0,20,0,42,-722.0,False,False,0.20537
136,0,30,0,18,-694.0,False,False,0.20434
137,0,30,0,18,-695.0,False,False,0.20332
138,50,70,0,42,-611.0,True,False,0.2023
139,150,160,0,37,-327.0,True,True,0.20129
140,50,70,0,30,-595.0,True,False,0.20028
141,0,10,0,32,-717.0,False,False,0.19928
142,0,30,0,18,-696.0,False,False,0.19829
143,50,70,0,72,-629.0,True,False,0.19729
144,0,30,0,18,-696.0,False,False,0.19631
145,0,30,0,12,-692.0,False,False,0.19533
146,0,30,0,18,-696.0,False,False,0.19435
147,50,70,0,18,-587.0,True,False,0.19338
148,0,10,0,29,-712.0,False,False,0.19241
149,50,70,0,37,-603.0,True,False,0.19145
150,0,30,0,15,-694.0,False,False,0.19049
151,0,30,0,18,-696.0,False,False,0.18954
152,0,30,0,17,-695.0,False,False,0.18859
153,0,10,0,18,-702.0,False,False,0.18765
154,50,70,0,45,-608.0,True,False,0.18671
155,50,60,0,27,-595.0,True,False,0.18578
156,0,30,0,18,-694.0,False,False,0.18485
157,50,70,0,42,-604.0,True,False,0.18392
158,150,170,0,64,-341.0,True,True,0.183
159,50,80,0,65,-615.0,True,False,0.18209
160,0,30,0,18,-696.0,False,False,0.18118
161,0,30,0,18,-695.0,False,False,0.18027
162,0,30,0,18,-696.0,False,False,0.17937
163,150,170,0,64,-338.0,True,True,0.17847
164,50,60,0,19,-596.0,True,False,0.17758
165,0,30,0,12,-692.0,False,False,0.17669
166,0,30,0,15,-694.0,False,False,0.17581
167,50,80,0,65,-610.0,True,False,0.17493
168,0,30,0,12,-692.0,False,False,0.17406
169,50,60,0,37,-597.0,True,False,0.17319
170,50,70,0,38,-598.0,True,False,0.17232
171,0,30,0,14,-696.0,False,False,0.17146
172,150,170,0,64,-340.0,True,True,0.1706
173,0,30,0,24,-699.0,False,False,0.16975
174,0,30,0,18,-696.0,False,False,0.1689
175,0,30,0,18,-695.0,False,False,0.16806
176,0,30,0,37,-711.0,False,False,0.16722
177,50,60,0,37,-593.0,True,False,0.16638
178,100,110,0,30,-437.0,True,True,0.16555
179,50,70,0,37,-603.0,True,False,0.16472
180,0,30,0,18,-696.0,False,False,0.1639
181,50,60,0,36,-602.0,True,False,0.16308
182,50,70,0,37,-602.0,True,False,0.16226
183,0,30,0,18,-696.0,False,False,0.16145
184,0,30,0,18,-696.0,False,False,0.16064
185,50,60,0,27,-594.0,True,False,0.15984
186,50,70,0,37,-602.0,True,False,0.15904
187,0,30,0,18,-696.0,False,False,0.15824
188,100,110,0,42,-449.0,True,True,0.15745
189,0,30,0,18,-695.0,False,False,0.15667
190,50,80,0,65,-612.0,True,False,0.15588
191,150,170,0,64,-341.0,True,True,0.1551
192,0,10,0,43,-731.0,False,False,0.15433
193,50,70,0,27,-589.0,True,False,0.15356
194,0,30,0,18,-696.0,False,False,0.15279
195,0,10,0,18,-697.0,False,False,0.15202
196,50,80,0,65,-614.0,True,False,0.15126
197,0,30,0,17,-696.0,False,False,0.15051
198,150,160,0,37,-327.0,True,True,0.14976
199,0,30,0,18,-696.0,False,False,0.14901
200,0,30,0,18,-696.0,False,False,0.14826
201,0,30,0,14,-696.0,False,False,0.14752
202,0,20,0,18,-696.0,False,False,0.14678
203,100,120,0,37,-439.0,True,True,0.14605
204,150,170,0,38,-320.0,True,True,0.14532
205,0,10,0,7,-696.0,False,False,0.14459
206,0,30,0,18,-696.0,False,False,0.14387
207,150,160,0,37,-325.0,True,True,0.14315
208,0,30,0,18,-696.0,False,False,0.14243
209,0,30,0,42,-718.0,False,False,0.14172
210,0,30,0,18,-695.0,False,False,0.14101
211,150,170,0,38,-325.0,True,True,0.14031
212,50,60,0,37,-604.0,True,False,0.13961
213,50,70,0,30,-594.0,True,False,0.13891
214,50,70,0,36,-601.0,True,False,0.13821
215,0,30,0,12,-692.0,False,False,0.13752
216,150,160,0,37,-331.0,True,True,0.13684
217,50,60,0,36,-594.0,True,False,0.13615
218,0,30,0,18,-696.0,False,False,0.13547
219,0,30,0,17,-699.0,False,False,0.13479
220,0,30,0,18,-696.0,False,False,0.13412
221,50,80,0,65,-612.0,True,False,0.13345
222,50,60,0,27,-591.0,True,False,0.13278
223,50,80,0,65,-619.0,True,False,0.13212
224,0,10,0,7,-696.0,False,False,0.13146
225,0,30,0,18,-696.0,False,False,0.1308
226,0,30,0,12,-692.0,False,False,0.13015
227,50,70,0,37,-603.0,True,False,0.1295
228,0,30,0,18,-696.0,False,False,0.12885
229,0,30,0,18,-696.0,False,False,0.1282
230,50,70,0,37,-604.0,True,False,0.12756
231,0,30,0,18,-694.0,False,False,0.12692
232,50,70,0,37,-603.0,True,False,0.12629
233,0,30,0,18,-694.0,False,False,0.12566
234,0,30,0,18,-696.0,False,False,0.12503
235,150,160,0,37,-326.0,True,True,0.1244
236,0,30,0,15,-693.0,False,False,0.12378
237,50,70,0,37,-602.0,True,False,0.12316
238,0,30,0,17,-695.0,False,False,0.12255
239,0,30,0,18,-695.0,False,False,0.12194
240,0,10,0,43,-730.0,False,False,0.12133
241,0,10,0,43,-731.0,False,False,0.12072
242,0,30,0,42,-716.0,False,False,0.12012
243,50,70,0,37,-602.0,True,False,0.11952
244,0,30,0,18,-695.0,False,False,0.11892
245,0,30,0,14,-696.0,False,False,0.11832
246,0,30,0,18,-696.0,False,False,0.11773
247,0,30,0,24,-699.0,False,False,0.11714
248,0,30,0,100,-750.0,False,False,0.11656
249,0,30,0,18,-696.0,False,False,0.11597
250,0,30,0,18,-696.0,False,False,0.11539
251,50,70,0,36,-598.0,True,False,0.11482
252,0,10,0,7,-696.0,False,False,0.11424
253,0,30,0,18,-695.0,False,False,0.11367
254,0,30,0,18,-696.0,False,False,0.1131
255,50,70,0,64,-623.0,True,False,0.11254
256,50,70,0,37,-601.0,True,False,0.11198
257,50,70,0,37,-605.0,True,False,0.11142
258,0,30,0,18,-696.0,False,False,0.11086
259,150,160,0,37,-327.0,True,True,0.1103
260,0,30,0,18,-696.0,False,False,0.10975
261,50,70,0,27,-597.0,True,False,0.1092
262,0,30,0,18,-696.0,False,False,0.10866
263,0,30,0,15,-693.0,False,False,0.10811
264,0,30,0,18,-696.0,False,False,0.10757
265,0,30,0,18,-696.0,False,False,0.10704
266,150,160,0,37,-327.0,True,True,0.1065
267,0,30,0,18,-696.0,False,False,0.10597
268,50,60,0,27,-593.0,True,False,0.10544
269,0,30,0,18,-696.0,False,False,0.10491
270,0,30,0,18,-694.0,False,False,0.10439
271,50,70,0,37,-605.0,True,False,0.10386
272,0,30,0,18,-696.0,False,False,0.10335
273,50,60,0,27,-593.0,True,False,0.10283
274,50,70,0,37,-598.0,True,False,0.10231
275,0,30,0,18,-696.0,False,False,0.1018
276,0,30,0,18,-696.0,False,False,0.10129
277,0,30,0,42,-718.0,False,False,0.10079
278,0,30,0,18,-696.0,False,False,0.10028
279,150,160,0,37,-321.0,True,True,0.09978
280,0,30,0,18,-696.0,False,False,0.09928
281,50,70,0,38,-600.0,True,False,0.09879
282,0,30,0,18,-696.0,False,False,0.09829
